iter	RMSE
0	0.3886781669
1	0.3767528661
2	0.3653459825
3	0.3540950727
4	0.3439085597
5	0.3352556783
6	0.3268241884
7	0.3176637182
8	0.3086405041
9	0.3017019605
10	0.2934706894
11	0.2866356222
12	0.2813619189
13	0.274948573
14	0.269789311
15	0.2639671968
16	0.2587270931
17	0.2534714521
18	0.2486580442
19	0.244189638
20	0.2400636549
21	0.2357410794
22	0.2318064024
23	0.2283162013
24	0.223550479
25	0.2203581808
26	0.2161962606
27	0.2129766684
28	0.2107321353
29	0.2072104609
30	0.2039032741
31	0.2016516766
32	0.1987778992
33	0.1970373578
34	0.1953384072
35	0.1931529047
36	0.1908625607
37	0.188925847
38	0.1868626284
39	0.1850663095
40	0.1836267882
41	0.1819271139
42	0.180282431
43	0.1788061445
44	0.1771088845
45	0.1759487234
46	0.1745810277
47	0.1734639222
48	0.1716174768
49	0.1702434661
50	0.1688276982
51	0.1679111678
52	0.1665926714
53	0.1652588642
54	0.1643208837
55	0.1633471991
56	0.1620611223
57	0.1612262663
58	0.1602730678
59	0.1597115947
60	0.1587418525
61	0.1578381937
62	0.1571989156
63	0.1561688611
64	0.1556753161
65	0.1551949779
66	0.1541832063
67	0.1535589448
68	0.1531335047
69	0.1524790227
70	0.1518352806
71	0.1512960748
72	0.1507377717
73	0.150200976
74	0.1494424947
75	0.148896285
76	0.1483632954
77	0.1477987109
78	0.1470340733
79	0.146676605
80	0.146205296
81	0.145727106
82	0.145273486
83	0.144874246
84	0.1443704711
85	0.1439675501
86	0.1436880849
87	0.1432937197
88	0.1428858953
89	0.1422768012
90	0.1419056465
91	0.1416048327
92	0.1410992445
93	0.1406408755
94	0.1401897801
95	0.139844069
96	0.1396190531
97	0.1393813439
98	0.1390593496
99	0.1386717887
100	0.1385360732
101	0.1380633432
102	0.1376744924
103	0.1373709355
104	0.1370805715
105	0.1367785967
106	0.1365565155
107	0.1362478049
108	0.1360066481
109	0.1355806747
110	0.1352045721
111	0.13493936
112	0.1346335909
113	0.1342811153
114	0.1338976581
