iter	Passed	Remaining
0	1	1687
1	3	1505
2	4	1485
3	5	1464
4	7	1449
5	8	1430
6	9	1415
7	11	1416
8	12	1404
9	14	1399
10	15	1408
11	17	1403
12	18	1394
13	19	1386
14	21	1389
15	22	1383
16	23	1377
17	25	1372
18	26	1366
19	27	1362
20	29	1358
21	30	1353
22	31	1348
23	33	1346
24	34	1342
25	35	1340
26	37	1337
27	38	1334
28	39	1330
29	41	1329
30	42	1326
31	43	1324
32	45	1322
33	46	1320
34	47	1317
35	49	1318
36	50	1315
37	51	1312
38	53	1310
39	54	1306
40	55	1303
41	56	1299
42	58	1295
43	59	1292
44	60	1294
45	62	1291
46	63	1287
47	64	1284
48	66	1281
49	67	1279
50	68	1275
51	69	1272
52	71	1269
53	72	1267
54	73	1265
55	75	1264
56	76	1262
57	77	1265
58	79	1262
59	80	1259
60	81	1257
61	83	1256
62	84	1254
63	85	1252
64	86	1249
65	88	1249
66	89	1246
67	90	1244
68	92	1242
69	93	1239
70	94	1239
71	96	1238
72	97	1235
73	98	1233
74	99	1233
75	101	1230
76	102	1228
77	103	1226
78	105	1225
79	106	1224
80	107	1222
81	109	1220
82	110	1220
83	111	1219
84	113	1217
85	114	1215
86	115	1213
87	116	1211
88	118	1209
89	119	1206
90	120	1204
91	121	1202
92	123	1200
93	124	1198
94	125	1196
95	126	1194
96	128	1192
97	129	1190
98	130	1188
99	131	1186
100	133	1184
101	134	1182
102	135	1180
103	136	1178
104	138	1177
105	139	1175
106	140	1175
107	142	1173
108	143	1171
109	144	1169
110	145	1167
111	147	1165
112	148	1164
113	149	1161
114	150	1160
115	152	1158
116	153	1157
117	154	1155
118	155	1153
119	157	1152
120	158	1150
121	159	1148
122	160	1146
123	162	1144
124	163	1142
125	164	1141
126	165	1139
127	167	1137
128	168	1136
129	169	1134
130	170	1133
131	172	1131
132	173	1130
133	174	1128
134	175	1126
135	177	1125
136	178	1124
137	179	1122
138	180	1120
139	182	1118
140	183	1117
141	184	1115
142	185	1114
143	187	1113
144	188	1111
145	189	1110
146	191	1108
147	192	1107
148	193	1105
149	194	1104
150	196	1102
151	197	1101
152	198	1100
153	199	1098
154	201	1097
155	202	1096
156	203	1094
157	205	1093
158	206	1091
159	207	1090
160	208	1088
161	210	1087
162	211	1085
163	212	1085
164	214	1083
165	215	1082
166	216	1080
167	217	1078
168	219	1077
169	220	1076
170	221	1074
171	222	1072
172	224	1071
173	225	1069
174	226	1068
175	227	1066
176	229	1065
177	230	1063
178	231	1062
179	232	1060
180	234	1059
181	235	1058
182	236	1056
183	237	1055
184	239	1053
185	240	1052
186	241	1050
187	242	1049
188	244	1047
189	245	1046
190	246	1044
191	247	1043
192	249	1042
193	250	1040
194	251	1039
195	253	1038
196	254	1036
197	255	1035
198	256	1033
199	258	1032
200	259	1031
201	260	1029
202	261	1028
203	263	1026
204	264	1025
205	265	1024
206	267	1022
207	268	1021
208	269	1020
209	270	1018
210	271	1016
211	273	1015
212	274	1014
213	275	1013
214	277	1011
215	278	1010
216	279	1008
217	280	1007
218	282	1006
219	283	1004
220	284	1003
221	285	1002
222	287	1000
223	288	999
224	289	998
225	291	997
226	292	996
227	293	995
228	295	993
229	296	992
230	297	990
231	298	989
232	300	988
233	301	986
234	302	985
235	303	983
236	305	982
237	306	982
238	308	981
239	309	979
240	310	978
241	311	976
242	313	976
243	314	974
244	315	973
245	317	971
246	318	970
247	319	969
248	320	968
249	322	966
250	323	965
251	324	964
252	326	963
253	327	961
254	328	960
255	329	959
256	331	957
257	332	956
258	333	954
259	334	953
260	336	952
261	337	950
262	338	949
263	339	947
264	341	946
265	342	945
266	343	943
267	344	942
268	346	940
269	347	939
270	348	938
271	349	936
272	351	935
273	352	933
274	353	932
275	354	931
276	356	929
277	357	928
278	358	926
279	359	925
280	361	924
281	362	922
282	363	921
283	365	920
284	366	919
285	367	918
286	369	916
287	370	915
288	371	914
289	372	912
290	374	911
291	375	910
292	376	908
293	377	907
294	379	905
295	380	904
